well,bacteria,medium,type
A1,EC,LJ_SM,s
A2,BA,LJ_SM,s
A3,FP,LJ_SM,s
A4,BT,LJ_SM,s
A5,LJ,LJ_SM,s
A6,LB,LJ_SM,s
A7,BOV,LJ_SM,s
A8,BOB,LJ_SM,s
A9,AM,LJ_SM,s
A10,RI,LJ_SM,s
A11,None,LJ_SM,B
A12,None,MM,p
B1,EC,LJ_SM,s
B2,BA,LJ_SM,s
B3,FP,LJ_SM,s
B4,BT,LJ_SM,s
B5,LJ,LJ_SM,s
B6,LB,LJ_SM,s
B7,BOV,LJ_SM,s
B8,BOB,LJ_SM,s
B9,AM,LJ_SM,s
B10,RI,LJ_SM,s
B11,None,LJ_SM,B
B12,None,MM,p
C1,EC,AM_SM,s
C2,BA,AM_SM,s
C3,FP,AM_SM,s
C4,BT,AM_SM,s
C5,LJ,AM_SM,s
C6,LB,AM_SM,s
C7,BOV,AM_SM,s
C8,BOB,AM_SM,s
C9,AM,AM_SM,s
C10,RI,AM_SM,s
C11,None,AM_SM,B
C12,None,MM,p
D1,EC,AM_SM,s
D2,BA,AM_SM,s
D3,FP,AM_SM,s
D4,BT,AM_SM,s
D5,LJ,AM_SM,s
D6,LB,AM_SM,s
D7,BOV,AM_SM,s
D8,BOB,AM_SM,s
D9,AM,AM_SM,s
D10,RI,AM_SM,s
D11,None,AM_SM,B
D12,None,MM,B
E1,EC,MM,p
E2,BA,MM,p
E3,FP,MM,p
E4,BT,MM,p
E5,LJ,MM,p
E6,LB,MM,p
E7,BOV,MM,p
E8,BOB,MM,p
E9,AM,MM,p
E10,RI,MM,p
E11,None,MM,B
E12,None,MM,B
F1,EC,MM,p
F2,BA,MM,p
F3,FP,MM,p
F4,BT,MM,p
F5,LJ,MM,p
F6,LB,MM,p
F7,BOV,MM,p
F8,BOB,MM,p
F9,AM,MM,p
F10,RI,MM,p
F11,None,MM,B
F12,None,MM,B
G1,EC,MM,p
G2,BA,MM,p
G3,FP,MM,p
G4,BT,MM,p
G5,LJ,MM,p
G6,LB,MM,p
G7,BOV,MM,p
G8,BOB,MM,p
G9,AM,MM,p
G10,RI,MM,p
G11,None,MM,B
G12,None,MM,B
H1,EC,MM,p
H2,BA,MM,p
H3,FP,MM,p
H4,BT,MM,p
H5,LJ,MM,p
H6,LB,MM,p
H7,BOV,MM,p
H8,BOB,MM,p
H9,AM,MM,p
H10,RI,MM,p
H11,None,MM,B
H12,None,MM,B
