well;bacteria;medium;type;plate_col;plate_row;corrected_medium;growthrate;yield;lag
A1;EC;RI;s;1;A;"RI_SM
EC";0,24563421551692283;0,450000;19,5640702331832443
A2;BA;RI;s;2;A;"RI_SM
EC";0,32164888537787462;1,584125;-0,0985368031378070
A3;FP;RI;s;3;A;"RI_SM
EC";0,37799527133042843;1,281125;11,1206259199398740
A4;BT;RI;s;4;A;"RI_SM
EC";0,10672037018205825;0,469500;-0,1202805339799317
A5;LJ;RI;s;5;A;"RI_SM
EC";0,30123794915056118;1,297625;2,7803298946694661
A6;LB;RI;s;6;A;"RI_SM
EC";0,15868887250007288;1,282500;4,8672553403080103
A7;BOV;RI;s;7;A;"RI_SM
EC";0,22398901785278486;1,203250;14,7518250923580698
A8;BOB;RI;s;8;A;"RI_SM
EC";0,10446452051518589;1,044500;6,9037379321138452
A9;AM;RI;s;9;A;"RI_SM
EC";0,10041180965376895;0,776250;10,1290313903634654
A10;RI;RI;s;10;A;"RI_SM
EC";0,20207274547305765;0,162250;21,2706466922272455
A12;EC;;p;12;A;"RI_SM
EC";0,25696356862945896;0,597250;18,0929216786285885
B1;EC;RI;s;1;B;"RI_SM
BA";0,26956009785732926;0,423500;17,8085754018278237
B2;BA;RI;s;2;B;"RI_SM
BA";0,33072512589910785;1,216375;0,0695167621278245
B3;FP;RI;s;3;B;"RI_SM
BA";0,44405576457174184;1,579500;10,3368778601781255
B4;BT;RI;s;4;B;"RI_SM
BA";0,10193078919949720;0,499125;0,1308345792206087
B5;LJ;RI;s;5;B;"RI_SM
BA";0,29488202349702258;1,283125;2,9286894362935376
B6;LB;RI;s;6;B;"RI_SM
BA";0,17199276531867921;1,256250;5,3411809842470550
B7;BOV;RI;s;7;B;"RI_SM
BA";0,21412179407352064;1,229125;13,9428250851446300
B8;BOB;RI;s;8;B;"RI_SM
BA";0,11326623576896509;1,050125;6,7131718777720986
B9;AM;RI;s;9;B;"RI_SM
BA";0,10171224956553755;0,664125;11,7869888464448724
B10;RI;RI;s;10;B;"RI_SM
BA";0,15404668042462288;0,111250;21,2700427448544254
B12;BA;;p;12;B;"RI_SM
BA";0,05209414646004277;1,435125;-1,8241283951217930
C1;EC;FP;s;1;C;"FP_SM
FP";0,00492847446155120;0,066375;-1,9502872529342674
C2;BA;FP;s;2;C;"FP_SM
FP";0,32872214784115950;1,283750;-0,1006872259710546
C3;FP;FP;s;3;C;"FP_SM
FP";0,31153101199897010;1,565500;12,0261187961647522
C4;BT;FP;s;4;C;"FP_SM
FP";0,10482022906049897;0,514125;-1,4306904613169267
C5;LJ;FP;s;5;C;"FP_SM
FP";0,26004089936274355;1,220625;2,4962781398163405
C6;LB;FP;s;6;C;"FP_SM
FP";0,12330245792753558;0,838375;2,3232176240877629
C7;BOV;FP;s;7;C;"FP_SM
FP";0,17139204700691255;0,569125;17,5098710530511390
C8;BOB;FP;s;8;C;"FP_SM
FP";0,09316385638826474;0,748125;9,2096182527809791
C9;AM;FP;s;9;C;"FP_SM
FP";0,06982041553502832;0,450125;1,9380081702391594
C10;RI;FP;s;10;C;"FP_SM
FP";0,02280251039950717;0,012750;26,6353824114577371
C12;FP;;p;12;C;"FP_SM
FP";0,29313266832216661;0,749250;12,3315038992745389
D1;EC;FP;s;1;D;"FP_SM
BT";0,28094902090883006;0,375625;20,3197742745227075
D2;BA;FP;s;2;D;"FP_SM
BT";0,34870443795559819;1,466125;-0,5858393283365966
D3;FP;FP;s;3;D;"FP_SM
BT";0,12202850934502407;0,367250;16,9792368410215673
D4;BT;FP;s;4;D;"FP_SM
BT";0,08217005830965482;0,479750;-0,5466598999361101
D5;LJ;FP;s;5;D;"FP_SM
BT";0,26798647370496043;1,193875;2,4938974671813225
D6;LB;FP;s;6;D;"FP_SM
BT";0,11591467840252713;0,805375;1,6667910655816620
D7;BOV;FP;s;7;D;"FP_SM
BT";0,17346939393891977;0,630250;16,5113390526963997
D8;BOB;FP;s;8;D;"FP_SM
BT";0,07823220316579159;0,715250;7,5565570402750932
D9;AM;FP;s;9;D;"FP_SM
BT";0,08212668118291980;0,454125;2,8648096437876465
D10;RI;FP;s;10;D;"FP_SM
BT";0,00641973388734279;0,051000;23,4994316484364667
D12;BT;;p;12;D;"FP_SM
BT";0,03957013022659567;0,292000;0,0406325892722503
E1;EC;LB;s;1;E;"LB_SM
LJ";0,28896405485032761;0,560125;17,1756451755946706
E2;BA;LB;s;2;E;"LB_SM
LJ";0,34935959824056095;1,594250;-0,4139181295494486
E3;FP;LB;s;3;E;"LB_SM
LJ";0,01400794627084374;0,073125;6,4640308204556129
E4;BT;LB;s;4;E;"LB_SM
LJ";0,10680146872511924;0,500500;-0,6036025156071091
E5;LJ;LB;s;5;E;"LB_SM
LJ";0,29190636630343003;1,181500;3,4242998548950729
E6;LB;LB;s;6;E;"LB_SM
LJ";0,14429736583256636;1,128125;4,7694983900550767
E7;BOV;LB;s;7;E;"LB_SM
LJ";0,20581949166398528;1,172250;14,7916440100738544
E8;BOB;LB;s;8;E;"LB_SM
LJ";0,12672425108574023;1,183125;7,3353481071143269
E9;AM;LB;s;9;E;"LB_SM
LJ";0,10950969332117885;0,785125;11,7472093875705177
E10;RI;LB;s;10;E;"LB_SM
LJ";0,20971434715125850;0,814250;15,4991550396315603
E12;LJ;;p;12;E;"LB_SM
LJ";0,30277256917807577;1,314750;4,4005309134068842
F1;EC;LB;s;1;F;"LB_SM
LB";0,21436666255338757;0,694375;14,9919472258792261
F2;BA;LB;s;2;F;"LB_SM
LB";0,31991400950347265;1,626750;-0,3273399093952790
F3;FP;LB;s;3;F;"LB_SM
LB";0,46418507320729779;1,449250;11,9396242338232081
F4;BT;LB;s;4;F;"LB_SM
LB";0,10934907521681651;0,506250;-1,0401073629093631
F5;LJ;LB;s;5;F;"LB_SM
LB";0,28262044721671509;1,141500;3,4877348283250278
F6;LB;LB;s;6;F;"LB_SM
LB";0,14477244784014581;1,109125;5,1772280969519313
F7;BOV;LB;s;7;F;"LB_SM
LB";0,24286681221818213;1,247125;14,9509693423202705
F8;BOB;LB;s;8;F;"LB_SM
LB";0,12567897568711614;1,206250;6,9560491916922329
F9;AM;LB;s;9;F;"LB_SM
LB";0,10745484557689421;0,700250;12,7272151819857928
F10;RI;LB;s;10;F;"LB_SM
LB";0,23737397557024523;0,990250;15,1775400726013281
F12;LB;;p;12;F;"LB_SM
LB";0,10081455965163924;0,779250;6,8616939812951037
G1;EC;EC;s;1;G;"EC_SM
BOV";0,04832797225887540;0,071625;23,0780678215197526
G2;BA;EC;s;2;G;"EC_SM
BOV";0,31314141236028559;1,495125;-0,1438480033683345
G3;FP;EC;s;3;G;"EC_SM
BOV";0,35194541668333851;1,145125;10,4893591078410306
G4;BT;EC;s;4;G;"EC_SM
BOV";0,10034135162144171;0,499625;0,0292258461230734
G5;LJ;EC;s;5;G;"EC_SM
BOV";0,16681441050387855;1,130375;2,4124440652593173
G6;LB;EC;s;6;G;"EC_SM
BOV";0,07649786802973561;0,590125;3,0277326926921444
G7;BOV;EC;s;7;G;"EC_SM
BOV";0,16255742402209891;0,467125;17,6546560837080548
G8;BOB;EC;s;8;G;"EC_SM
BOV";0,15525344381905054;0,294375;0,2991023090833146
G9;AM;EC;s;9;G;"EC_SM
BOV";0,10114976748944032;0,307375;-0,3025493927479177
G10;RI;EC;s;10;G;"EC_SM
BOV";0,00350001894728174;0,022375;7,7936170443349937
G12;BOV;;p;12;G;"EC_SM
BOV";0,16611559043945129;0,784125;16,0590707682620071
H1;EC;EC;s;1;H;"EC_SM
BOB";0,01432302098805886;0,061875;24,6375569419668352
H2;BA;EC;s;2;H;"EC_SM
BOB";0,27335765748183916;1,709750;-0,2210627774903935
H3;FP;EC;s;3;H;"EC_SM
BOB";0,11993123667696629;0,341125;13,8030576416050561
H4;BT;EC;s;4;H;"EC_SM
BOB";0,16290188402806030;0,582250;0,4329619888200135
H5;LJ;EC;s;5;H;"EC_SM
BOB";0,16904133827528889;1,157875;2,3635769258946508
H6;LB;EC;s;6;H;"EC_SM
BOB";0,06963102787415966;0,570250;1,3446839139724878
H7;BOV;EC;s;7;H;"EC_SM
BOB";0,16410109341414292;0,724125;15,2572976624272290
