Community,Species,equation,Bio1_T1,Bio1_T2,Bio2_T1,Bio2_T2,Bio1,Bio2,Avg_bio,Std_bio,solutions,std_solutions,percentage,percentage_std
1,BT,Y = -4.826*X + 20.31,18.1529,18.1574,18.1361,18.2105,18.15515,18.173299999999998,18.164225,0.009074999999999278,0.444628056361376,0.0018804392871942144,47.8051850816747,0.2168173479652263
1,EC,Y = -4.708*X + 16.81,15.4074,15.4541,15.3945,15.524,15.43075,15.45925,15.445,0.01425000000000054,0.289932030586236,0.0030267629566696134,31.1726940866181,0.2431124191815588
1,LJ,Y = -3.937*X + 16.98,16.2002,16.2037,16.1851,16.2519,16.20195,16.2185,16.210225,0.008274999999999366,0.195523241046482,0.0021018542037082467,21.0221208317072,0.19580933182453206
2,AM,Y = -2.536*X + 23.01,22.1362,22.3374,22.12,22.2334,22.2368,22.1767,22.20675,0.030049999999999244,0.316738958990536,0.011849369085173204,33.5454670448149,0.8602887572270883
2,EC,Y = -4.708*X + 16.81,14.6961,14.7211,14.6847,14.8309,14.7086,14.7578,14.7332,0.02459999999999951,0.441121495327103,0.005225148683092504,46.7186816279740,0.6710588221110224
2,LJ,Y = -3.937*X + 16.98,16.2027,16.2677,16.1873,16.3277,16.2352,16.2575,16.24635,0.01115000000000066,0.186347472694945,0.002832105664211496,19.7358513272111,0.3622585100952703
3,EC,Y = -4.708*X + 16.81,14.6092,14.7249,14.5954,14.6816,14.66705,14.6385,14.652775,0.014274999999999594,0.458204120645709,0.0030320730671197097,47.3977871823906,0.6108436782235269
3,BT,Y = -4.826*X + 20.31,17.8101,17.9607,17.7924,17.8604,17.885399999999997,17.8264,17.8559,0.02949999999999875,0.508516369664318,0.006112722751761035,52.6022128176094,0.6576139483218615
3,AM,Y = -2.536*X + 23.01,23.9896,24.0967,23.9569,24.0247,24.043149999999997,23.9908,24.016975,0.026174999999998505,0,0.010321372239747044,0,1.0676687153322852
4,BT,Y = -4.826*X + 20.31,18.2821,18.38,18.2714,18.2972,18.331049999999998,18.2843,18.307675,0.023374999999997925,0.414903646912557,0.0048435557397426285,45.8454587020569,0.5719208798912032
4,EC,Y = -4.708*X + 16.81,15.4526,15.5423,15.4264,15.4684,15.49745,15.4474,15.472425000000001,0.025025000000000297,0.284106839422260,0.005315420560747726,31.3928510164439,0.5201791486901357
4,AM,Y = -2.536*X + 23.01,24.9746,25.0401,24.9462,24.989,25.00735,24.9676,24.987475,0.019874999999998977,0,0.00783714511040969,0,0.8659781980104855
4,LJ,Y = -3.937*X + 16.98,16.1273,16.193,16.1041,16.2516,16.16015,16.17785,16.169,0.008849999999998914,0.205994411988824,0.002247904495808716,22.7616902814992,0.32919806147866915
