,bacteria,medium,a_mean,a_stdev,b_mean,b_stdev
0,AM,BOB,-0.45157630104551805,0.1293168078498196,-0.4767622779126225,0.09244534597707088
1,AM,BOV,0.11860027151179153,0.23088263651688093,-0.2543188236711139,0.11943937369416617
2,AM,EC,-0.6437583421419164,0.08032678893495605,-0.7487360050234686,0.04015283407988447
3,AM,FP,-0.7053900548753511,0.06427817969118389,-0.6353043229538171,0.0579923849190312
4,AM,LB,-0.5865986215039971,0.08280070279926953,-0.4020039688621738,0.1015546300860448
5,AM,LJ,0.6264132117676235,0.34516922795385324,0.06243387422936486,0.17212876715968675
6,BA,AM,0.16412613628367012,0.42659794201837287,-0.0141724229218807,0.025442388924564227
7,BA,BOB,0.12651676749752383,0.41598719037560067,-0.017533425082940868,0.03228111518092107
8,BA,BOV,0.23661322804126783,0.4463238705633758,-0.038628900375322184,0.02097825704376023
9,BA,BT,-0.427290737453337,0.22575487321081492,-0.5486547542380996,0.010635358764795384
10,BA,EC,0.24881478560539771,0.45915830263793017,0.06573644080366647,0.07853975798684393
11,BA,FP,0.44507698341462,0.5227796429686192,-0.08731778847146787,0.0665097223135534
12,BA,LB,0.42495327927046467,0.5177169743085798,0.06926341838008754,0.026028387529848256
13,BA,LJ,0.22336716404744528,0.4497106683025793,0.1283927984694213,0.026018087794311896
14,BOB,AM,-0.47046422714353975,0.1338994068204111,-0.7931090294778158,0.08774731817388921
15,BOB,BA,0.11782637968833432,0.12188743225689108,-0.8228862767313412,0.04093091714931001
16,BOB,BOV,1.1867689582909713,0.23019852397294263,0.1740951301920004,0.24678820332814355
17,BOB,BT,-0.3411663884252507,0.21541348735225416,-0.8168106500495681,0.04072552685813096
18,BOB,EC,0.23539421744962596,0.2025163524180683,-0.6955874319703805,0.0642041977937211
19,BOB,FP,-0.24033323744699386,0.10334557883675284,-0.22913185101260447,0.1629191077101438
20,BOB,LB,0.11966381871202003,0.11163805561028915,0.2553796507981465,0.2639646541168332
21,BOB,LJ,0.2366889798922831,0.1417324343968611,0.004600724300483305,0.3244869081465015
22,BOV,AM,-0.33312609365768675,0.34123100913071397,-0.32833281533862435,0.13177958719842722
23,BOV,BA,-0.41497069512053,0.32958078205076535,-0.7738232174840837,0.08107464712068012
24,BOV,BOB,-0.42145018725374295,0.29316924500519254,-0.4951425980692147,0.10037189750829481
25,BOV,BT,-0.3475941153783998,0.37905019181531374,-0.7619728869820988,0.07320519972817832
26,BOV,EC,0.8064106605445762,0.9062907182023502,-0.008924995434170246,0.2955468197635913
27,BOV,FP,0.904667286636335,0.9552521265266568,-0.0005527056946309505,0.19992999210972692
28,BOV,LB,1.4806011299692674,1.2623559136164468,1.0162431392401823,0.39358334253051364
29,BOV,LJ,0.6443567010149482,0.8343697992948252,0.5375791810984265,0.2957751090875329
30,BT,AM,-0.011091645670661898,0.10795317580620799,-0.03617603768030608,0.003532032427234462
31,BT,BA,-0.7100173116283197,0.03755951899266438,-0.7539395054459818,0.008904056336999965
32,BT,BOB,-0.8209555155954152,0.025177632109645867,-0.8081356711804534,0.003736119594955885
33,BT,BOV,-0.7674956684184288,0.06029470235153265,-0.8121180453341184,0.01206657796896576
34,BT,EC,-0.6074395777223554,0.10471626385773643,-0.6894106932587578,0.025251223022276725
35,BT,FP,-0.7202531609797073,0.044591590815631084,-0.7150700986164262,0.010512198331270015
36,BT,LB,-0.677685998106657,0.033093743048078134,-0.7113890933176332,0.0023153399434361066
37,BT,LJ,0.196631565922329,0.11568439003559093,0.054870473947600695,0.013277070551510532
38,EC,AM,0.153981563676729,0.483801686931116,-0.32827821810168356,0.5387642647722893
39,EC,BA,-0.6208844011926655,0.05679643874834115,-0.9263429122232175,0.005689844718273322
40,EC,BOB,0.08268048659606753,0.12532695343066289,-0.7585721243745679,0.005372371276663812
41,EC,BOV,0.4430338553938764,0.12913713391236592,-0.6659113086986583,0.007650097931190737
42,EC,BT,-0.6529296391021964,0.08783671499575442,-0.921951050249151,0.0027034045388068706
43,EC,FP,0.30704812974773366,0.12659965384868563,-0.751100147481071,0.004319456985514295
44,EC,LB,0.17059856976348975,0.2125990596550925,-0.5838025848356762,0.04722545049729423
45,EC,LJ,0.27872020729199654,0.1349823523874195,-0.7257107531752709,0.007197129263466259
46,FP,AM,0.1284789151119805,0.14305941965484958,-0.004710847952631547,0.03057045278395383
47,FP,EC,-0.10409660498140216,0.4763641473295179,-0.5177756996259328,0.27521166613979153
48,FP,LB,0.7657345676443303,0.19616108536007018,-0.05619261467064074,0.026809088084508558
49,FP,LJ,0.20779074215984727,0.17276448515356904,0.15422276009681735,0.03396259254667371
50,LB,AM,-0.3865816625781533,0.170924765820567,-0.6710276928040187,0.020524271175873594
51,LB,BA,-0.33752263952153794,0.15079315697782514,-0.8686059246713228,0.0327925864200278
52,LB,BOB,-0.5283870065427163,0.05290831771309592,-0.5572044625465755,0.04146946745541796
53,LB,BOV,0.15885050554023894,0.11406974008887831,0.2028341229011803,0.06348662937788235
54,LB,BT,-0.5088934593643802,0.13766683726834267,-0.8627809814965239,0.014351785811163217
55,LB,EC,-0.33744232675315544,0.07809214838904373,-0.2276791058008112,0.031304488871413946
56,LB,FP,0.08338843246140937,0.1225998259720152,0.09382447205851574,0.04662098406577784
57,LB,LJ,0.16220895029783633,0.15237168174142887,-0.23105629263490335,0.028207498403356426
58,LJ,AM,-0.09047402104200564,0.10685590198719346,-0.10062594916874912,0.0666100189708773
59,LJ,BA,-0.3770990821788823,0.06524541419169264,-0.22583506761697392,0.0582406391609983
60,LJ,BOB,0.058848933759548805,0.10891574931009905,-0.13610497304159885,0.06900678353509931
61,LJ,BOV,0.4086960466506715,0.14399700794886078,0.19917638267269844,0.08913893339534872
62,LJ,BT,-0.4058149420034137,0.06452339808807173,-0.24443917686479022,0.07597062296402665
63,LJ,EC,-0.4304249993435,0.06130875501273913,-0.04504825192244344,0.07101939131667495
64,LJ,FP,-0.1048690102222738,0.09609472304037339,0.007797446384520734,0.07478133901444653
65,LJ,LB,-0.026109000808484772,0.10092961094612576,-0.030392684671075476,0.07324710038917782
