,bacteria,medium,a,a,b,b
,,,mean,std,mean,std
0,AM,BOB,-0.45157630104551805,0.07044208116577354,-0.47676227791262243,0.04037577095063417
1,AM,BOV,0.11860027151179149,0.06617672381248918,-0.25431882367111386,0.014817057884505686
2,AM,EC,-0.6437583421419164,0.03860039383114405,-0.7487360050234686,0.004174092403949041
3,AM,FP,-0.7053900548753512,0.027162423263897735,-0.6353043229538171,0.001819326885967395
4,AM,LB,-0.5865986215039971,0.0131659231055024,-0.4020039688621738,0.035776745763546725
5,AM,LJ,0.6264132117676235,0.12532974113306394,0.06243387422936486,0.03338255696638975
6,BA,AM,0.16412613628367015,0.095094730315347,-0.01417242292188079,0.01376664317435317
7,BA,BOB,0.12651676749752389,0.10534015705006561,-0.017533425082940757,0.024236169744818105
8,BA,BOV,0.23661322804126791,0.0636731551450411,-0.038628900375322274,0.0021736689978806415
9,BA,BT,-0.42729073745333696,0.09543584893916947,-0.5486547542380996,0.004141457094020833
10,BA,EC,0.2488147856053975,0.10865334686346441,0.06573644080366647,0.07505648210692785
11,BA,FP,0.4450769834146199,0.08250114713418617,-0.08731778847146782,0.06349143357227068
12,BA,LB,0.4249532792704648,0.0943888079205415,0.06926341838008747,0.011786085532536192
13,BA,LJ,0.22336716404744533,0.10605332155818713,0.12839279846942123,0.008784327201521506
14,BOB,AM,-0.4704642271435398,0.1248463830548071,-0.7931090294778158,0.07623054465488445
15,BOB,BA,0.11782637968833432,0.06647074266319347,-0.8228862767313412,0.017068561858499077
16,BOB,BOV,1.1867689582909713,0.11421272562228116,0.17409513019200024,0.009240081069931821
17,BOB,BT,-0.3411663884252507,0.20682594181621425,-0.816810650049568,0.013341037856564457
18,BOB,EC,0.23539421744962602,0.1681176367015944,-0.6955874319703806,0.005808121448170686
19,BOB,FP,-0.24033323744699375,0.07654717521836825,-0.2291318510126045,0.018028335656398282
20,BOB,LB,0.11966381871201988,0.04461529989128499,0.2553796507981467,0.012066119152633966
21,BOB,LJ,0.23668897989228296,0.08551030169791476,0.004600724300483428,0.24650580337173295
22,BOV,AM,-0.33312609365768664,0.07265358543126495,-0.32833281533862435,0.02595481938815066
23,BOV,BA,-0.41497069512053,0.15190185198231465,-0.7738232174840837,0.06841280790717948
24,BOV,BOB,-0.421450187253743,0.04778489189086012,-0.49514259806921473,0.025373982177720647
25,BOV,BT,-0.3475941153783998,0.19310610400652908,-0.7619728869820988,0.05711985209594936
26,BOV,EC,0.8064106605445762,0.07570204901883291,-0.008924995434170292,0.2258431074279263
27,BOV,FP,0.9046672866363348,0.07570717449538943,-0.0005527056946308617,0.0548868781851438
28,BOV,LB,1.4806011299692676,0.23553275463284623,1.016243139240182,0.0670283027997927
29,BOV,LJ,0.6443567010149481,0.1425419077205769,0.5375791810984265,0.0029350437261984165
30,BT,AM,-0.01109164567066192,0.07529002786385608,-0.03617603768030615,0.000985439036670316
31,BT,BA,-0.7100173116283197,0.029934267488173412,-0.7539395054459818,0.008861852109829642
32,BT,BOB,-0.8209555155954152,0.020921630999317573,-0.8081356711804533,0.003674603682891508
33,BT,BOV,-0.7674956684184288,0.05748562855460521,-0.8121180453341184,0.01204845030045721
34,BT,EC,-0.6074395777223554,0.1001116013148305,-0.6894106932587577,0.025227557083626482
35,BT,FP,-0.7202531609797073,0.03885157022541863,-0.7150700986164262,0.010464268787334976
36,BT,LB,-0.677685998106657,0.021433123492610555,-0.7113890933176332,0.0020806877345114225
37,BT,LJ,0.19663156592232905,0.06796346228525618,0.054870473947600765,0.012747561657719458
38,EC,AM,0.15398156367672897,0.4771095299094632,-0.32827821810168356,0.5386433797303899
39,EC,BA,-0.6208844011926655,0.05031678400063829,-0.9263429122232175,0.005550521862445009
40,EC,BOB,0.08268048659606757,0.10023162299454635,-0.7585721243745679,0.0034695280123942505
41,EC,BOV,0.4430338553938764,0.08136876463523728,-0.6659113086986583,0.005128946545985176
42,EC,BT,-0.6529296391021964,0.0844606716889834,-0.9219510502491511,0.002355851385432875
43,EC,FP,0.30704812974773366,0.08819204052619067,-0.751100147481071,0.0008805809217100784
44,EC,LB,0.1705985697634898,0.19642113254353172,-0.583802584835676,0.046693071069492394
45,EC,LJ,0.2787202072919966,0.10160864212300337,-0.7257107531752709,0.00548471469491809
46,FP,AM,0.1284789151119805,0.07854837485830232,-0.00471084795263158,0.011692789502887258
47,FP,EC,-0.10409660498140219,0.4668106500006652,-0.5177756996259327,0.27487119321887227
48,FP,LB,0.7657345676443303,0.05897425082035644,-0.05619261467064074,0.0011391550166241838
49,FP,LJ,0.20779074215984722,0.11606581863664055,0.1542227600968173,0.008970915802891544
50,LB,AM,-0.38658166257815324,0.16308395793215832,-0.6710276928040189,0.016622747486934507
51,LB,BA,-0.33752263952153794,0.14029977365090215,-0.8686059246713228,0.03243814961116707
52,LB,BOB,-0.5283870065427162,0.03537329264106639,-0.5572044625465755,0.03817258425261507
53,LB,BOV,0.15885050554023902,0.0605406501021397,0.20283412290118025,0.04574943301791748
54,LB,BT,-0.5088934593643801,0.13142877164249156,-0.8627809814965239,0.01344463548183569
55,LB,EC,-0.33744232675315544,0.05516423912531264,-0.22767910580081124,0.013460180606771162
56,LB,FP,0.0833884324614094,0.08283496050735756,0.09382447205851581,0.023900825785210956
57,LB,LJ,0.16220895029783639,0.11754207918534612,-0.23105629263490335,0.001959344607577043
58,LJ,AM,-0.09047402104200578,0.05808614644087078,-0.10062594916874916,0.009056536207960356
59,LJ,BA,-0.3770990821788823,0.0219986143723232,-0.2258350676169738,0.01285487361790878
60,LJ,BOB,0.0588489337595489,0.030988702220059318,-0.1361049730415988,0.027274026205110803
61,LJ,BOV,0.4086960466506716,0.03792482055985991,0.19917638267269838,0.014269191257064646
62,LJ,BT,-0.4058149420034137,0.027020358503253107,-0.24443917686479022,0.051942583093857984
63,LJ,EC,-0.43042499934350004,0.024578364344299906,-0.04504825192244346,0.011576816082038897
64,LJ,FP,-0.10486901022227388,0.037981924784208664,0.007797446384520757,0.011139418964893772
