,bacteria,medium,mean,std
0,AM,BOB,0.14352465143205992,0.018434971290884422
1,AM,BOV,0.2927421159344584,0.017318710398931042
2,AM,EC,0.09322985105700955,0.010101875758317669
3,AM,FP,0.07710058803630038,0.007108513615354469
4,AM,LB,0.10818877605633237,0.0034455741575372192
5,AM,LJ,0.4256387711699152,0.032799289025046786
6,BA,AM,0.2720765093356004,0.02222529112094883
7,BA,BOB,0.26328654623906145,0.024619825403577978
8,BA,BOV,0.2890180024286571,0.014881522929767355
9,BA,BT,0.13385210774091935,0.022305016471618522
10,BA,EC,0.29186971848161314,0.025394175442718554
11,BA,FP,0.33773960493990873,0.01928195186830032
12,BA,LB,0.3330363455526374,0.022060304789095066
13,BA,LJ,0.28592216707066026,0.024786504343173987
14,BOB,AM,0.059522538801642225,0.01403337425069258
15,BOB,BA,0.12564942251131694,0.007471652647754906
16,BOB,BOV,0.24580405487616366,0.012838096576218146
17,BOB,BT,0.07405627951676481,0.023248297429527703
18,BOB,EC,0.13886465091264458,0.018897285257673348
19,BOB,FP,0.08539044323004816,0.008604295385963452
20,BOB,LB,0.12585596008854807,0.00501498870340865
21,BOB,LJ,0.13901018885678806,0.009611796807038265
22,BOV,AM,0.06011567290847943,0.006549392825054166
23,BOV,BA,0.052737751469250735,0.013693266389813875
24,BOV,BOB,0.05215365449681146,0.004307592340257876
25,BOV,BT,0.05881144604771408,0.01740764374596544
26,BOV,EC,0.1628397683203784,0.006824198059088291
27,BOV,FP,0.17169715970883517,0.006824660097667455
28,BOV,LB,0.22361499636947943,0.02123221481914343
29,BOV,LJ,0.1482313352538634,0.012849509658100645
30,BT,AM,0.32953573810747944,0.025089033574880425
31,BT,BA,0.09663146117898853,0.009975050658877122
32,BT,BOB,0.059663320735470815,0.006971753331427891
33,BT,BOV,0.07747784330619864,0.01915604105616183
34,BT,EC,0.13081362690557827,0.03336037185647796
35,BT,FP,0.09322055039398051,0.012946579746058133
36,BT,LB,0.1074052838681204,0.0071421989097019715
37,BT,LJ,0.39875572351328137,0.022647588738089496
38,EC,AM,0.24664929437151736,0.1019762642612386
39,EC,BA,0.08103127283345349,0.010754590592643241
40,EC,BOB,0.2314095705289267,0.02142327040871368
41,EC,BOV,0.30843064862587055,0.017391567606348322
42,EC,BT,0.07418199935531382,0.018052424518688392
43,EC,FP,0.2793653807472792,0.018849958482580077
44,EC,LB,0.25020097401257524,0.04198258903474834
45,EC,LJ,0.2733106374960465,0.021717591225493358
46,FP,AM,0.29585390843413356,0.02059306859151388
47,FP,EC,0.2348794624748126,0.12238399269309391
48,FP,LB,0.46292355674451546,0.015461310236749971
49,FP,LJ,0.3166471316861914,0.03042903648390271
50,LB,AM,0.06727868129646808,0.017886771491701935
51,LB,BA,0.0726593916136953,0.015387840860933285
52,LB,BOB,0.05172571204089316,0.0038796826518219547
53,LB,BOV,0.12710075502499302,0.0066399956688966465
54,LB,BT,0.053863731183687424,0.014414884428928637
55,LB,EC,0.07266820018171229,0.006050320045326189
56,LB,FP,0.1188242030295317,0.009085197765040843
57,LB,LJ,0.12746910354135438,0.012891815588155053
58,LJ,AM,0.26745178063677916,0.017080593248955552
59,LJ,BA,0.1831678956794659,0.006468829611838296
60,LJ,BOB,0.3113611258072985,0.009112420953465199
61,LJ,BOV,0.41423584896865684,0.011152029764653173
62,LJ,BT,0.17472381819265695,0.00794550475998326
63,LJ,EC,0.16748707750634906,0.007227421163443337
64,LJ,FP,0.26321884438473214,0.011168821617593375
65,LJ,LB,0.28637871584307145,0.009128924606435282
